Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Australia,AUS,19905.3134669222,19997.5450015954,19767.9570765171,20597.9260588196,21607.4922239031,22455.2509839049,22470.5176072033,23587.6281171848,24355.6282531611,25531.5365288498,26829.7630995603,26975.665521972,27520.0005055853,27812.4455074509,28231.0239084901,28258.0654813537,28700.2946314702,29399.0024788699,29318.7463550853,30178.3894488631,30717.7780327511,31251.8203349363,31736.0447520616,30608.3684024318,31632.3892749783,32861.4162378766,33674.1705521479,34014.7354121968,35389.4553320904,36143.1477787181,36886.1444273767,36279.7540525751,36029.4845675544,37155.5123959647,38264.146671105,39310.7982327944,40337.1060519133,41464.4982180697,42967.6616681962,44636.9418129494,45859.5162097045,46191.3142366289,47486.2783216389,48394.1269478095,49902.0187022536,50853.1976727529,51553.9685966991,52531.7611201084,53336.1012157008,53237.0077642312,53578.8125049759,54111.357240336,55257.5739287362,55728.0174035719,56327.8533063277,56739.0265346593,57401.0662268939,57750.6482221688,58530.7821697117,58924.733646242,58132.798523626,59276.503107197,61009.8077147403,61583.9188935304,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Austria,AUT,11894.7440845275,12484.808698261,12737.1853190514,13179.3523970527,13893.5857879381,14283.9973249596,14984.5529746625,15320.3582690899,15922.6386016982,16863.5862812465,18001.7830030928,18838.3155442359,19891.8260269583,20749.3440323726,21530.6341614326,21509.3123873093,22533.8803939277,23669.5086470357,23638.778362566,24947.5270987894,25379.4629438114,25278.2953301423,25768.2192783576,26577.2454979127,26592.5469892204,27244.2147682295,27853.5049571295,28213.6633511624,29102.3223039964,30097.6513408526,31167.1858089051,31919.5572961167,32231.1217246909,32134.8299098991,32780.342031078,33603.4277668346,34301.6562559914,34998.0320577293,36180.7490843101,37468.8699525693,38571.0858515901,38929.753817402,39313.7226059057,39569.2886405101,40333.330706218,40989.013215254,42120.1557756904,43568.8302726368,44063.8642404045,42372.4758387703,43035.407467795,44146.1957578601,44221.4600041556,43851.3675464788,43838.8346845363,43915.228020857,44362.6702918145,45056.6386908289,45951.5818951582,46550.5623430785,43428.6983141255,45313.3990043754,47250.969589759,46338.9571249412,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2820.84010307402,2764.07399346223,2107.29678414183,1596.13266566318,1264.5271891937,1102.49789007407,1105.58724229428,1158.4816576176,1262.29188712613,1343.85593869878,1480.80869072436,1614.84885813475,1754.13524132991,1918.61103696953,2077.88527047339,2631.85145279408,3501.16482500603,4327.11360468848,4693.07707968116,5023.9672905028,5215.20415429496,5152.83850244744,5194.92091665083,5426.09594155961,5506.18169600319,5500.50364628486,5270.738165712,5229.7098898586,5262.36870473368,5348.45318851823,5083.56025445721,5345.43986445831,5595.25578671563,5651.34563872949,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,18789.5115786787,19793.2294428986,20790.8003341132,21857.1700319536,23053.3240914303,24351.4507003446,25373.4870926561,26541.8716756185,27453.7700282719,28592.8868514431,25956.473942416,25566.6648968906,24018.3711889621,25226.592122645,20534.6459756631,17116.1149801236,17616.2684561503,18820.503882116,21047.0102581003,26028.7000516419,27207.2129469724,24270.2737208141,25465.6139952042,25941.3170492243,29121.8177407419,30010.7056229913,30030.1868949219,30407.0574255073,30582.4522599191,32070.5170498418,31013.4113096277,29209.8799129391,27581.9230250065,27152.8748810207,27519.5438938555,28252.7077066212,28983.8030082001,28919.2895646365,29854.6965869756,31562.5997734386,32443.4821122756,32889.1043697221,33393.907041321,32578.1443340618,32462.8400808186,33163.9593062091,33561.2518428191,33568.7414244241,32350.5258109189,30599.0229081654,30675.1646102905,30510.3112586785,31111.9605332274,29943.2833151727,30229.5788172228,30289.4022514831,29788.630398974,30432.0034857242,31054.8232648137,30481.3536731138,23879.3136835653,27522.0226408093,30400.100277377,31053.8006388734,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,17423.5246702283,17249.0124224571,18258.3131142924,19724.6516534591,20304.8174616131,17582.5754413652,21815.0764825317,23475.826642995,23251.0531134084,22978.2198018726,22551.9860925815,20521.425016103,18310.9908591644,18811.4380955493,19065.3191478664,17516.6361043991,17091.2903016984,18193.2073441956,18774.1395172075,18183.311929769,18345.8379968815,20882.5059585425,21701.2221810674,23858.1932700978,23180.3323729315,23465.7128444519,23795.2091340679,23893.1335734362,24386.5914731011,24773.8463984048,25407.9695506994,25106.2869597603,24149.0155867095,23857.640497887,23688.1119870174,23439.6704259167,23095.0182544673,23112.4887473872,23127.2147074223,22206.9371565184,22224.0736166249,23288.0449398313,23894.8804447088,24271.6278814506,24135.4991304849,23734.0551143019,23715.2791328712,23606.8867501313,24059.7838641562,24873.6640060134,23586.9309581516,24086.7847803428,25187.1425681324,25076.6545031009,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,429.398700910166,442.754802776645,453.534880895558,438.497510023828,472.526377856783,466.297416230715,464.560595017134,442.631515109653,470.576662620963,462.973250718686,476.495758008963,442.581266509865,373.483189983357,375.01209712721,399.510508130505,373.260373696999,384.509552028714,385.08552032014,402.385595931712,411.669266520237,405.226770259517,423.537122867473,420.872004532951,425.646571168568,434.782351604307,438.382478828439,446.08025306417,452.659756923731,453.839236883479,457.254334777705,473.444821021085,480.673358976087,497.371173735323,511.193509421294,521.323144726555,537.931946643983,552.077107138767,566.271140847632,584.448175174047,600.232323162952,620.560472822105,641.288922876274,655.672139362272,676.826252046427,702.656357081873,739.203718353409,779.419570444998,825.508229964537,866.45815762135,901.729626251937,943.66422864236,995.579947155662,1050.39140404066,1103.15695907123,1159.40753475981,1224.38647668165,1299.83091360792,1373.75363740186,1462.25050255713,1564.20802445636,1604.6659234742,1702.08028414189,1804.3493461776,1885.37733613545,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Barbados,BRB,7381.7971438422,7873.04780157899,8510.62521839519,7999.08328047661,8315.38348028868,9172.24086694893,9439.02087637345,10354.4256371948,11006.5952048034,11791.2280425428,12915.4547220798,13432.5964951553,13577.0012203599,13722.5311626719,13060.5783482268,12792.1253941318,13335.7131391662,13811.3204153898,14489.2088041061,15650.3880247556,16318.2291040224,15960.8845873917,15129.1744290501,15151.3117660042,15639.6736406066,15755.808574781,16508.5149592767,16892.7326143465,17452.0562043171,18056.0932027769,17426.9351835134,16696.22733988,15691.7053745298,15770.1013386706,16050.7397691905,16347.8193415767,16982.0088873431,17779.6524073263,18439.4684285478,18495.4685457422,19351.4637536222,18867.6490272458,18892.1731269,19184.9279509598,19344.9607588108,20004.7667883518,21117.3140469227,21454.1970493913,21477.2080975613,20294.7825842242,19763.952363572,19555.7321072204,19438.2179113021,19191.4375467197,19160.122299023,18954.2913724506,19251.9834223357,19237.287488428,18974.8571786909,19064.9975884863,16166.6559507829,16099.7749737734,18959.3351638653,19734.2380260921,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2888.81907069821,2852.83689147968,2573.30498643864,2372.49018343591,2097.38630357777,1885.36460876549,1944.69111376635,2175.40833900412,2368.78831406642,2460.37464166009,2615.36929738429,2753.03951749076,2910.40552581074,3137.2692460885,3520.41196333398,3877.72558343066,4291.69554039507,4682.21666120022,5177.65628805365,5200.78517563822,5616.10598460952,5941.70254722329,6052.65016288478,6115.445804695,6212.92980286522,5967.06856034227,5811.21387285116,5964.90929450138,6165.92623183228,6267.7483339582,6252.00220091446,6457.74418441168,6206.63221336061,6482.80295076287,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belgium,BEL,11715.8268791057,12258.2997889952,12845.9669121584,13305.1271853331,14096.6677431222,14466.6269871026,14822.717578669,15310.6185547594,15890.1322595071,16895.7049007021,17951.3224412717,18632.842381979,19542.8867503369,20724.7406112635,21602.8018297023,21116.9915907667,22270.8535058588,22382.6484676808,22997.2737344199,23514.5118155672,24532.4569831129,24464.5870434569,24616.8372881874,24695.564920194,25305.0320984606,25715.3579180372,26174.7551583459,26755.6979944897,27930.4859347392,28794.6547979722,29609.6207847014,30040.5508722561,30376.8745233822,29967.3944141531,30839.2414478946,31508.6226413688,31862.6694406461,32991.5010339643,33566.9875682096,34676.6051727182,35878.3153948197,36148.2881160202,36600.862545353,36826.2699200097,37976.697319251,38645.2605555367,39371.0857898642,40520.0843652615,40380.9074712395,39293.6375830961,39991.5646228587,40236.9596151297,40074.4928091814,40007.8997697861,40533.9134833922,40893.804537772,41172.8862464509,41619.3286089022,42208.3625852238,43006.4042605622,40769.0218401768,43119.894333477,44583.5767711768,44731.0420983801,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belize,BLZ,1554.73650901524,1590.49534112485,1626.44946137565,1661.02467035008,1694.31090585267,1725.67330207481,1753.86597663694,1784.3741331061,1858.36452184413,1898.20625159724,1945.04198293153,1987.98750307575,2158.24409919594,2241.94064142594,2511.38843624041,2557.68159806883,2504.71434531537,2612.70757763821,2762.21027233446,2907.6940487945,3183.73545687114,3139.22709388774,3058.54265733743,2921.07446456512,2909.06007780466,2871.03040262932,2934.26574957884,3177.26856009795,3411.7709927208,3771.13384766321,4111.68186005974,4498.65988154226,4966.68328051626,5165.5406214628,5055.70052469135,4966.79958676435,4874.55662204451,4914.25622252639,4930.24629363195,5212.36550357123,5662.33419045965,5763.67721322443,5893.70035034857,6273.01058592748,6381.59597801024,6335.67777675053,6434.11864385377,6465.21936364157,6183.93891771798,5997.24330826644,5919.55662085777,5777.83112948952,5866.25148992843,5998.17830945783,6109.47778375326,6154.49593498217,6016.49646985703,5772.92692023491,5729.21045186202,5886.9622354935,5003.87784847193,5824.30394264153,6269.37997445105,6212.26051785042,..
